pdb,vina,XGB,RF20
mol_2d,7.6352421503,7.082230256073926,7.65855495594273
mol_BRE,7.8396804831,7.420903434512201,8.11859634756546
mol_JTU,6.5729652578,6.852142536080258,6.96652715369859
