pdb,vina,XGB,RF20
mol_2d,7.3687945729,6.7237329011661435,7.25340782910858
mol_BRE,7.9729922906,7.420687426670251,8.18070775274573
mol_JTU,6.457139851899999,6.706867190452474,6.80834496847
